about_project,address,benefits,city,contract_type,development_opportunities,employer,expected_requirements,expected_technologies,expiration_date,job_title,max_salary,min_salary,optional_requirements,optional_technologies,position_level,price_unit,responsibilities,scraping_datetime,source,specialization,url,what_they_offer,work_mode,work_schedule,clickable_job_title
Anyone who lives in Krakow or Warsaw and loves ice-cream cannot stay cold towards Good Lood – the hottest ice-cream brand in the city. What do ice cream and IT have in common? See for yourself and apply for the Good Lood Team at AVSystem!,None,[],"Kraków, Lesser Poland","employment, B2B","['development budget', 'intracompany training', 'mentoring', 'space for experimenting', 'substantive support from technological leaders', 'technical knowledge exchange within the company']",AVSystem,"['5+ years of professional experience in backend software engineering (including at least 2 years with a JVM-based language)', 'Any experience in frontend engineering', 'Strong problem-solving skills and a willingness to take ownership of technical challenges', 'Passon for technology, pragmatic thinking, ability to jump into an ambiguous area and break down complex problems', 'Strong communication skills and attitude of sharing expertise', 'Proficiency in Polish and English']","['Java', 'JavaScript', 'TypeScript']",03-04-2024,Senior Software Engineer - Good Lood,25500,17000,"['Spring, Typescript, MongoDB, React', 'Designing complex systems', 'Assuming responsibility for significant tasks']","['Spring Framework', 'MongoDB']",senior specialist (Senior),gross / mth.,"['Participate in the complete development cycle: design, develop, review, QA, deploy and support', 'Propose and lead technical objectives of the team', 'Provide mentorship to junior engineers, including conducting code reviews and providing feedback on technical decisions', 'Collaborate with business teams', 'Conduct technical interviews for software engineering candidates', 'Provide rotational developer support during office hours']",27/03/2024 18:13:09,pracuj.pl,Backend,"https://www.pracuj.pl/praca/senior-software-engineer-good-lood-krakow-walerego-eljasza-radzikowskiego-47d,oferta,1003191666","['Freedom and responsibility. Our goal is to inspire people more than manage them. We want our teams to do what is best for our products. This, in turn, generates a sense of responsibility which drives us to do great work', 'Technical challenges', 'A team of highly skilled colleagues with a sense of humour', 'A MacBook Pro with 2 monitors', 'Company events and team building activities', 'Flexible working hours/remote work when you need it', 'Trainings and conferences', 'Multisport card', 'Kitchen full of snacks and treats (including Good Lood ice cream)', 'Car parking area and bike room', 'A relaxed work atmosphere – no dress code, no open space']",hybrid work,full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/senior-software-engineer-good-lood-krakow-walerego-eljasza-radzikowskiego-47d,oferta,1003191666"">Senior Software Engineer - Good Lood</a>"
Współpraca z jednym z liderów branży Telco.,Warszawa,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'life insurance', 'remote work opportunities', 'corporate products and services at discounted prices', 'integration events']","Warszawa, mazowieckie","mandate, B2B","['branżowe platformy e-learningowe', 'przestrzeń do eksperymentowania', 'szkolenia wewnątrzfirmowe', 'wsparcie merytoryczne od liderów technologicznych', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",IT CONNECT Sp. z o.o. Sp. k.,"['Ukończone studia o profilu ścisłym (preferowane kierunki: geoinformatyczny, informatyczny lub pokrewny)', 'Biegła znajomość SQL. Doświadczenie w zakresie działań na bazach danych i analizy dużych zbiorów danych (Teradata, PostgreSQL)', 'Bardzo dobra znajomość pakietu MS Office (głównie Excel)', 'Znajomość narzędzi i platform geoinformatycznych (np. QGIS, Geoportal)', 'Podstawy programowania w Python', 'Umiejętność pracy pod presją czasu, rozwiązywania problemów i pracy zespołowej. Zdolności interpersonalne', 'Wysokie zdolności analityczne, umiejętność szybkiej analizy sytuacji i podejmowania decyzji', 'Znajomość języka angielskiego w stopniu komunikacyjnym']","['SQL', 'Teradata', 'PostgreSQL', 'Python', 'QGIS']",16-04-2024,Data engineer / Data Platform engineer,None,None,"['Znajomość Power BI', 'Znajomość SAP ERP', 'Chęć uczenia się i wykorzystanie wiedzy w praktyce']","['Power BI', 'SAP ERP']","specjalista (Mid / Regular), młodszy specjalista (Junior)",None,"['Utrzymanie i rozwój środowiska danych w obszarze Data&AI', 'Ścisła współpraca z innymi zespołami i wsparcie ich obowiązków', 'Praca przy danych przestrzennych z wykorzystaniem narzędzi i platform GIS', 'Optymalizacja i automatyzacja zapytań w bazach danych', 'Doradztwo w zakresie zapewnienia dobrej jakości danych adresowych']",27/03/2024 18:13:10,pracuj.pl,Big Data / Data Science,"https://www.pracuj.pl/praca/data-engineer-data-platform-engineer-warszawa,oferta,1003220643","['Pracę dla jednego z liderów branży telekomunikacyjnej', '50% zniżki na produkty pracodawcy (TV, internet, telefon)', 'Odpowiedzialną pracę w gronie ekspertów technologicznych', 'Duże pole do wdrażania własnych pomysłów', 'Długotrwałe zatrudnienie']",praca hybrydowa,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/data-engineer-data-platform-engineer-warszawa,oferta,1003220643"">Data engineer / Data Platform engineer</a>"
"Departament Aplikacji Detalicznych stanowi 400 - osobowy zespół ekspertów i pasjonatów IT, którzy odpowiadają za tworzenie i rozwój nowoczesnych rozwiązań bankowości elektronicznej.",Katowice,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'retirement pension plan', 'extra social benefits', 'christmas gifts', 'employee referral program', 'charity initiatives', 'pikniki rodzinne', 'extra leave']","Katowice, śląskie",employment,[],ING Bank Śląski S.A.,"['umiejętności analitycznego myślenia', 'umiejętność tworzenia i czytania modeli UML, BPM, Enterprise Architekt', 'doświadczenie w obszarze analizy biznesowej i systemowej', 'doświadczenia we współpracy z programistami i testerami', 'wiedza na temat komunikacji miedzy systemami (REST, KAFKA, WSO2)', 'doświadczenie w projektach związanych z rozwojem systemów IT', 'wskazana znajomość relacyjnych baz danych SQL', 'wykształcenie techniczne – informatyka lub pokrewne']","['UML', 'BPMN', 'Enterprise Architekt', 'REST', 'KAFKA', 'WSO2', 'SQL']",16-04-2024,Analityk Systemowo - Biznesowy,22000,9600,[],[],specjalista (Mid / Regular),gross / mth.,"['współpraca z jednostkami biznesowymi przy określaniu wymagań biznesowych', 'modelowanie procesów biznesowych / systemowych (opisywanie funkcjonalnych procesów biznesowych: UML lub BPMN)', 'tworzenie dokumentacji dla realizowanych zmian w aplikacjach', 'współpraca i konsultacja rozwiązań technicznych z projektantami i programistami, testerami', 'dostarczanie zmian odpowiedniej jakości zgodnie z procedurami']",27/03/2024 18:13:10,pracuj.pl,"Business analytics, System analytics","https://www.pracuj.pl/praca/analityk-systemowo-biznesowy-katowice,oferta,1003220786","['pracę w dojrzałej biznesowo i technologicznie organizacji, w której razem z nami będziesz tworzyć rozwiązania dla nowoczesnej bankowości', 'realny wpływ i decyzyjność w proponowaniu rozwiązań dla podległego obszaru technologicznego', 'hybrydowy model pracy', 'niezbędny sprzęt do pracy, ale jeśli chcesz pracować na wybranej przez siebie marce laptopa czy smartfona, to dajemy taką możliwość w ramach programu BYOD (Bring Your Own Device)', 'dostęp do platform edukacyjnych m.in. Pluralsight, Udemy Business, eTutor oraz dofinansowanie niezbędnych szkoleń technicznych', 'współpracę we wzajemnie uczących się społecznościach programistycznych, analitycznych, testerskich, Women in Tech, w tym pracę z mentorami i uczenie się na stażu towarzyszącym', 'pakiet medyczny, ubezpieczenie na życie, platformę Mindgram, Pracowniczy Program Emerytalny i Program Profilaktyki Onkologicznej', 'kartę sportową i kafeterię benefitową na punkty', 'dodatkowe dni wolne', 'atrakcyjne konkursy z nagrodami i rabaty do wybranych sklepów']",praca hybrydowa,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/analityk-systemowo-biznesowy-katowice,oferta,1003220786"">Analityk Systemowo - Biznesowy</a>"
"Nasz zespół poszukuje doświadczonego specjalisty ds. infrastruktury IT, który będzie odpowiedzialny za kompleksową konfigurację, testowanie i wdrażanie narzędzi do automatyzacji oraz procesów CI/CD. Projektem obejmuje także rozwijanie i utrzymanie środowisk systemowych na różnych etapach cyklu życia projektu (dev/test/prod).",None,"['sharing the costs of sports activities', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'flexible working time', 'integration events', 'no dress code', 'coffee / tea', 'drinks', 'leisure zone']","Warszawa, mazowieckie",B2B,[],BCF Software Sp. z o.o.,"['Posiadanie wyższego wykształcenia kierunkowego.', 'Doświadczenie w konfiguracji i budowie środowisk do realizacji procesów CI/CD, obejmujące umiejętności korzystania z narzędzi takich jak GitLab, SVN, Gerrit, Jenkins, Maven, Docker, Artifactory, Nexus, itp.', 'Doświadczenie w administrowaniu serwerami działającymi w oparciu o system operacyjny Linux.', 'Znajomość konteneryzacji aplikacji (Docker) oraz platform do orkiestracji, takich jak Openshift, Kubernetes lub innych.', 'Praktyka w obszarze narzędzi komponentów aplikacyjnych, sieciowych i baz danych, m.in. Apache, Kafka, Jboss, MySQL, PostgreSQL, Oracle SQL, Microsoft SQL Server, itp.', 'Znajomość zagadnień z zakresu sieci LAN/WAN, urządzeń sieciowych, Firewall, serwerów proxy i Load Balancerów, a także popularnych protokołów sieciowych: HTTP(s), DNS, SSH, TCP/IP, usług sieciowych REST, SOAP.', 'Praktyczna znajomość praktyk związanych ze skalowalnością i wysoką wydajnością systemów.', 'Znajomość technologii chmurowych.']","['GitLab', 'SVN', 'gerrit', 'Jenkins', 'Maven', 'Artifactory', 'Nexus']",19-04-2024,Inżynier DevOps,19200,16000,[],['Azure DevOps'],starszy specjalista (Senior),gross / mth.,"['Konfiguracja, testowanie i wdrażanie narzędzi do automatyzacji i CI/CD.', 'Tworzenie i rozwijanie oraz utrzymanie środowisk systemowych (dev/test/prod).', 'Tworzenie/modyfikacja interfejsów wymiany danych i integracja.', 'Tworzenie nowych rozwiązań systemowych i środowiskowych.', 'Analizowanie i rozwiązywanie zgłaszanych problemów.', 'Współpraca z administratorami pozostałych systemów informatycznych.']",27/03/2024 18:13:11,pracuj.pl,DevOps,"https://www.pracuj.pl/praca/inzynier-devops-warszawa-zurawia-6,oferta,1003229078",[],praca hybrydowa,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/inzynier-devops-warszawa-zurawia-6,oferta,1003229078"">Inżynier DevOps</a>"
None,None,"['sharing the costs of sports activities', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'flexible working time', 'integration events', 'no dress code', 'coffee / tea', 'drinks', 'leisure zone']","Warszawa, mazowieckie",B2B,[],BCF Software Sp. z o.o.,"['Posiadanie wyższego wykształcenia kierunkowego.', 'Minimum 2 lata doświadczenia w obszarze testowania oprogramowania.', 'Znajomość narzędzi do testowania oprogramowania.', 'Doświadczenie w programowaniu w języku Java.', 'Biegła znajomość języka polskiego oraz komunikatywna znajomość języka angielskiego.', 'Umiejętność efektywnej pracy w zespole.', 'Bardzo dobra organizacja pracy i samodzielność.']",['Java'],19-04-2024,Tester,12800,7200,[],[],specjalista (Mid / Regular),gross / mth.,"['Przeprowadzanie testów manualnych i automatycznych.', 'Przygotowywanie środowisk i narzędzi testowych.', 'Opracowywanie skryptów do automatyzacji testów.', 'Opracowywanie dokumentacji testowej, w tym scenariuszy testowych, przypadków testowych i raportów.', 'Udział we wdrażaniu oprogramowania w całym cyklu życia projektu.', 'Zapewnianie jakości wytwarzanych produktów.', 'Współpraca z zespołem wytwarzania oprogramowania.', 'Współpraca z testerami biznesowymi.']",27/03/2024 18:13:11,pracuj.pl,QA/Testing,"https://www.pracuj.pl/praca/tester-warszawa-zurawia-6,oferta,1003229065",[],praca hybrydowa,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/tester-warszawa-zurawia-6,oferta,1003229065"">Tester</a>"
None,None,"['sharing the costs of professional training & courses', 'life insurance']","Zamość, lubelskie",employment,['szkolenia wewnątrzfirmowe'],Meble Polskie Janusz Fijałek,[],"['SQL', 'Linux', 'Windows Server']",19-04-2024,Informatyk,8317.21,6116.61,[],"['IFS', 'Docker']","specjalista (Mid / Regular), młodszy specjalista (Junior)",gross / mth.,"['serwis/ utrzymanie sprzętu komputerowego', 'obsługa pierwszej linii wsparcia dla użytkowników', 'instalacja i konfiguracja komputerów, laptopów, urządzeń peryferyjnych oraz sprzętu sieciowego', 'diagnoza i usuwanie problemów w sprzęcie komputerowym', 'budowa i utrzymanie dokumentacji infrastruktury', 'wsparcie przy wdrożeniu systemu ERP']",27/03/2024 18:13:12,pracuj.pl,"Helpdesk, IT admin","https://www.pracuj.pl/praca/informatyk-zamosc-strefowa-10,oferta,1003229066",[],praca stacjonarna,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/informatyk-zamosc-strefowa-10,oferta,1003229066"">Informatyk</a>"
"Technical Support serves as a global organization, offering extensive expertise in HERE products and services. Our role involves aiding in technical sales and collaborating closely with Product, Development, and Operations teams to address customer issues and enhance the functionality of HERE products and services.",None,[],"Kraków, Lesser Poland",employment,[],HERE Technologies,[],"['Android', 'iOS', 'JavaScript', 'Angular', 'React.js']",16-04-2024,Technical Support Engineer,19000,13000,[],[],senior specialist (Senior),gross / mth.,"['Provide exceptional support for our diverse range of applications.', 'Diagnose and troubleshoot technical issues reported by customers.', 'Collaborate with development teams to resolve complex problems.', 'Demonstrate expertise in mobile app development, staying up-to-date with the latest industry trends.', 'Assist customers with mobile-specific issues and provide guidance on best practices.', 'Utilize your full stack development skills to address a wide array of technical challenges.', 'Contribute to the development of new features and improvements based on customer feedback.', 'Engage with customers professionally and empathetically.', 'Communicate technical information in a clear and understandable manner.', 'Build and maintain positive relationships with clients.', 'Efficiently manage and prioritize tasks based on urgency and impact.', 'Handle escalations with poise, ensuring timely resolution and customer satisfaction.']",27/03/2024 18:13:13,pracuj.pl,Helpdesk,"https://www.pracuj.pl/praca/technical-support-engineer-krakow-jana-dekerta-24,oferta,1003220650","['Innovative and modern technologies', 'Truly international team of fantastic & talented people from 60+ countries worldwide, working from strong tech hubs located in Europe, US and Asia and multiple smaller locations', 'Flexible working hours & flexible approach for office vs. remote work', 'Competitive salary plus yearly variable bonus']",home office work,full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/technical-support-engineer-krakow-jana-dekerta-24,oferta,1003220650"">Technical Support Engineer</a>"
None,Kraków,[],"Kraków, Lesser Poland",employment,[],REMODEVS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"['Associates degree or equivalent experience is required', 'A BS degree in Computer Science, MIS, or a related field is a plus', 'Minimum of 3 years of experience in networking, security, operations, scripting, and/or programming', 'Ability to grasp new concepts and technologies, with a commitment to mastering our platform and modules', 'Strong problem-solving skills, with the ability to articulate problems clearly and develop effective plans', 'Aptitude for complex troubleshooting', 'Good judgment in decision-making, weighing cost and value', 'Hands-on experience with relevant technical domains', 'Technical certifications such as Google IT Support Professional, CISSP, MCSE, A+/Security+/Network+, etc.', 'Experience in areas like Endpoint Security, Incident Response, Systems Management, and Utility Scripting', 'Demonstrates initiative and motivation', 'Excellent oral and written communication skills', 'Team player', 'Person of high ethics and integrity', 'Ability to work in a fast-paced, changing environment']",[],15-04-2024,Technical Support - Technical Account Manager,29000,20000,[],[],specialist (Mid / Regular),gross / mth.,"['Triaging inbound support cases', 'Resolving customer support cases', 'Collaborating with fellow Support Engineers on their assigned cases', 'Providing valuable insights in the customer community', 'Documenting best practices', 'Tracking activity, documenting root causes, and reporting', 'Acting as a technical subject matter expert, focusing primarily on testing and troubleshooting', 'Testing and providing feedback to improve the overall customer experience']",27/03/2024 18:13:13,pracuj.pl,Helpdesk,"https://www.pracuj.pl/praca/technical-support-technical-account-manager-krakow,oferta,1003220474","['Competitive compensation and comprehensive benefits package', 'Eligibility for restricted stock units for all full-time employees', 'A value-based, transparent culture that promotes collaboration and innovation', 'Opportunities to work with global customers and on strategic projects', 'Career development and growth opportunities', 'Health, dental, and vision coverage with Tanium covering 100% of the premium', 'Life & Disability + Critical Illness benefits with Tanium covering 100% of the premium', 'Pension Plan']",hybrid work,full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/technical-support-technical-account-manager-krakow,oferta,1003220474"">Technical Support - Technical Account Manager</a>"
"Product Owner ze znajomością zagadnień procesów handlowych, zakupów centralnych lub ochrony środowiska, kontroli jakości.",Warszawa,"['sharing the costs of sports activities', 'private medical care', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'coffee / tea', 'drinks', 'leisure zone', 'christmas gifts', 'employee referral program']","Warszawa, mazowieckie",B2B,['wymiana wiedzy technicznej w firmie'],emagine sp. z o.o.,"['Minimum 2 lata doświadczenia komercyjnego w poszukiwanej roli Product Owner', 'Praktyczna znajomość zagadnień z zakresu wsparcia procesów handlowych, zakupów centralnych lub ochrony środowiska, kontroli jakości.', 'Podstawowa znajomość narzędzi typu ITSM', 'Umiejętność współpracy z biznesem i członkami zespołów IT/dostawcami usług IT', 'Zdolności analitycznego myślenia', 'Samodzielność i odpowiedzialne realizowanie powierzonych zadań', 'Wytrwałość i konsekwencja w realizowaniu prac', 'Praktyczne doświadczenie w realizowaniu prac w modelu Dev/Ops - utrzymanie i rozwój powierzonych systemów']",[],16-04-2024,Product Owner,25600,16000,"['Doświadczenie w branży budowlanej', 'Znajomość rozwiązań typu: Webcon BPS, webowych rozwiązań aplikacyjnych .NET/SQL', 'Jira, ServiceNow']","['.NET', 'SQL', 'Jira']",specjalista (Mid / Regular),gross / mth.,"['Nadzór nad rozwijającymi się oraz już funkcjonującymi systemami na każdym poziomie ich działania, zarówno podczas tworzenia, jak i utrzymywania.', 'Zajmowanie się pracami rozwojowymi, w tym negocjacje z działem biznesowym na temat wprowadzania nowych funkcji, tworzenie zgłoszeń opisujących te zadania dla ich realizacji na platformie, a następnie informowanie działu biznesowego o ich zaimplementowaniu.', 'Aktywne staranie się o utrzymanie wysokiej jakości wprowadzanych modyfikacji.', 'Dostosowywanie funkcjonujących już systemów zgodnie z ustalonymi priorytetami, wartościami i celami.', 'Prowadzenie oraz zarządzanie listą zadań do wykonania (backlogiem) dla zespołu.', 'Zapewnianie efektywnej współpracy z architektami systemów, wewnętrznymi klientami, właścicielami produktów, programistami i innymi członkami ekipy.', 'Rejestrowanie postępów w pracy i raportowanie aktualnego statusu projektów.', 'Gotowość do rozwijania swoich umiejętności oraz poznawania nowych technologii informatycznych.']",27/03/2024 18:13:14,pracuj.pl,Product Management,"https://www.pracuj.pl/praca/product-owner-warszawa,oferta,1003220652",[],"praca zdalna, praca hybrydowa",pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/product-owner-warszawa,oferta,1003220652"">Product Owner</a>"
"Jako Grupa Blix rozwijamy najpopularniejsze aplikacje zakupowe w Polsce – BLIX i Zdrowe Zakupy, z których korzysta ponad 6 mln smart shopperów. Podbijamy rynek reklamy mobilnej, wspierając sprzedaż wiodących marek, producentów i sieci handlowych. Jesteśmy również obecni na rynkach ukraińskim oraz rumuńskim i planujemy ekspansję na Europę Zachodnią.",None,"['sharing the costs of sports activities', 'private medical care', 'life insurance', 'remote work opportunities', 'integration events']","Poznań, wielkopolskie",B2B,[],Grupa Blix sp. z o.o.,"['Minimum 5 lat doświadczenia w podobnej roli.', 'Dużej biegłości w SQL i raportowaniu BI (np. Tableau, Looker).', 'Doświadczenia w modelowaniu danych (logicznych, fizycznych i wielowymiarowych), w tym schematów gwiazdy i płatka śniegu.', 'Umiejętność konfiguracji i pracy z nowoczesnym stackiem technologicznym do pracy z danymi (Airbyte, Airflow, dbt, Snowflake).', 'Wcześniejsze doświadczenie w startupach lub własnej działalności jako samodzielny/jedyny analityk będzie dużym plusem.']","['SQL', 'Airflow', 'Airbyte', 'DBT', 'Snowflake Data Cloud', 'BI']",30-03-2024,Analytics Engineer,25000,20000,[],[],"starszy specjalista (Senior), ekspert",gross / mth.,"['Tworzyć przyjazne dla użytkownika, wysokiej jakości zasoby danych (modele danych, analizy i wizualizacje).', 'Zarządzać istniejącymi już zasobami danych, koncentrując się na prostocie, automatyzacji i optymalizacji.', 'Projektować i wdrażać rozwiązania trafnie reprezentujące doświadczenia naszych użytkowników i klientów.', 'Dostarczać przydatne informacje, które pomogą zrozumieć zachowania, preferencje i potrzeby użytkowników.', 'Budować relacje z zespołami produktowymi, wspierać je w analizowaniu danych użytkowników i trendów rynkowych.']",27/03/2024 18:13:15,pracuj.pl,System analytics,"https://www.pracuj.pl/praca/analytics-engineer-poznan-jana-henryka-dabrowskiego-79a,oferta,1003183965",[],praca zdalna,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/analytics-engineer-poznan-jana-henryka-dabrowskiego-79a,oferta,1003183965"">Analytics Engineer</a>"
