job_title,employer,min_salary,max_salary,price_unit,url,contract_type,address,city,expiration_date,scraping_datetime,clickable_job_title,middle_price,location,point,latitude,longitude,altitude
DevOps Architekt Systemów IT,Novaris Sp. z o.o.,19000,27000,gross / mth.,"https://www.pracuj.pl/praca/devops-architekt-systemow-it-warszawa,oferta,1002902768","employment, B2B",Warszawa,"Warszawa, mazowieckie",05-11-2023,13/10/2023 17:29:40,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/devops-architekt-systemow-it-warszawa,oferta,1002902768"">DevOps Architekt Systemów IT</a>",23000.0,"Warszawa, województwo mazowieckie, Polska","(52.2319581, 21.0067249, 0.0)",52.2319581,21.0067249,0.0
C++ Developer,Novaris Sp. z o.o.,17000,25000,gross / mth.,"https://www.pracuj.pl/praca/c%2b%2b-developer-warszawa,oferta,1002902769","employment, B2B",Warszawa,"Warszawa, mazowieckie",05-11-2023,13/10/2023 17:29:41,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/c%2b%2b-developer-warszawa,oferta,1002902769"">C++ Developer</a>",21000.0,"Warszawa, województwo mazowieckie, Polska","(52.2319581, 21.0067249, 0.0)",52.2319581,21.0067249,0.0
Senior CloudOps Engineer,Lufthansa Systems,10000,21000,gross / mth.,"https://www.pracuj.pl/praca/senior-cloudops-engineer-gdansk-aleja-grunwaldzka-415,oferta,1002897083","employment, B2B",None,"Gdańsk, Pomeranian",03-11-2023,13/10/2023 17:29:49,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/senior-cloudops-engineer-gdansk-aleja-grunwaldzka-415,oferta,1002897083"">Senior CloudOps Engineer</a>",15500.0,,"(None, None, None)",,,
CloudOps Engineer,Lufthansa Systems,8000,16000,gross / mth.,"https://www.pracuj.pl/praca/cloudops-engineer-gdansk-aleja-grunwaldzka-415,oferta,1002897082",employment,None,"Gdańsk, Pomeranian",03-11-2023,13/10/2023 17:29:50,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/cloudops-engineer-gdansk-aleja-grunwaldzka-415,oferta,1002897082"">CloudOps Engineer</a>",12000.0,,"(None, None, None)",,,
"Integration Systems Architect (Kafka, Azure)",Lufthansa Systems,10000,25000,gross / mth.,"https://www.pracuj.pl/praca/integration-systems-architect-kafka-azure-gdansk-aleja-grunwaldzka-415,oferta,1002897081","employment, B2B",None,"Gdańsk, Pomeranian",03-11-2023,13/10/2023 17:29:50,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/integration-systems-architect-kafka-azure-gdansk-aleja-grunwaldzka-415,oferta,1002897081"">Integration Systems Architect (Kafka, Azure)</a>",17500.0,,"(None, None, None)",,,
Team Leader (Middleware team),Lufthansa Systems,15000,25000,gross / mth.,"https://www.pracuj.pl/praca/team-leader-middleware-team-gdansk-aleja-grunwaldzka-415,oferta,1002897079",employment,None,"Gdańsk, Pomeranian",03-11-2023,13/10/2023 17:29:51,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/team-leader-middleware-team-gdansk-aleja-grunwaldzka-415,oferta,1002897079"">Team Leader (Middleware team)</a>",20000.0,,"(None, None, None)",,,
Senior React Developer (Startup),WINGED IT SP Z O O,33000,36960,gross / mth.,"https://www.pracuj.pl/praca/senior-react-developer-startup-warszawa,oferta,1002867202",B2B,Warszawa,"Warszawa, Masovian",20-10-2023,13/10/2023 17:30:02,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/senior-react-developer-startup-warszawa,oferta,1002867202"">Senior React Developer (Startup)</a>",34980.0,"Warszawa, województwo mazowieckie, Polska","(52.2319581, 21.0067249, 0.0)",52.2319581,21.0067249,0.0
Senior .NET Developer (Startup),WINGED IT SP Z O O,30000,33600,gross / mth.,"https://www.pracuj.pl/praca/senior-net-developer-startup-warszawa,oferta,1002867210",B2B,Warszawa,"Warszawa, Masovian",20-10-2023,13/10/2023 17:30:03,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/senior-net-developer-startup-warszawa,oferta,1002867210"">Senior .NET Developer (Startup)</a>",31800.0,"Warszawa, województwo mazowieckie, Polska","(52.2319581, 21.0067249, 0.0)",52.2319581,21.0067249,0.0
Senior Java Developer,in4mates spółka z ograniczoną odpowiedzialnością,21600,32000,gross / mth.,"https://www.pracuj.pl/praca/senior-java-developer-warszawa-stefana-czarnieckiego-35,oferta,1002867146",B2B,None,"Warszawa, mazowieckie",20-10-2023,13/10/2023 17:30:04,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/senior-java-developer-warszawa-stefana-czarnieckiego-35,oferta,1002867146"">Senior Java Developer</a>",26800.0,,"(None, None, None)",,,
Sharepoint Developer,ITDS Polska Sp. z o.o.,26250,27300,gross / mth.,"https://www.pracuj.pl/praca/sharepoint-developer-wroclaw,oferta,1002881074","employment, B2B",Wrocław,"Wrocław, Lower Silesia",27-10-2023,13/10/2023 17:30:06,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/sharepoint-developer-wroclaw,oferta,1002881074"">Sharepoint Developer</a>",26775.0,"Wrocław, województwo dolnośląskie, Polska","(51.1089776, 17.0326689, 0.0)",51.1089776,17.0326689,0.0
