about_project,address,benefits,city,contract_type,development_opportunities,employer,expected_requirements,expected_technologies,expiration_date,job_title,max_salary,min_salary,optional_requirements,optional_technologies,position_level,price_unit,responsibilities,scraping_datetime,source,specialization,url,what_they_offer,work_mode,work_schedule
Projekt realizowany dla Klienta z branży elektronicznej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'mentoring', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Stawiasz na pisanie wysokiej jakości kodu.', 'Posiadasz minimum 2-letnie doświadczenie w rozwijaniu aplikacji webowych.', 'Masz praktyczną wiedzę z zakresu tworzenia serwisów REST oraz w pracy z systemami kontroli wersji Git.', 'Lubisz się uczyć oraz dzielić wiedzą!', 'Możesz powiedzieć o sobie: pasja i ciekawość technologii zmotywowały mnie do podjęcia tej pracy!', 'Znajomość języka angielskiego na poziomie minimum B2.']","['Python', 'Angular', 'HTML', 'CSS', 'Flask', 'REST', 'Git']",30-12-2023,Fullstack Developer,20000,12000,[],[],specjalista (Mid / Regular),gross / mth.,"['Realny wpływ na rozwój aplikacji umożliwiającej optymalizację przesyłanej energii.', 'Implementacja rozwiązań z wykorzystaniem odpowiednich narzędzi.', 'Współpraca z Zespołem Projektowym.', 'Przygotowanie dokumentacji.', 'Przygotowanie testów.']",27/12/2023 18:10:14,pracuj.pl,Full-stack,"https://www.pracuj.pl/praca/fullstack-developer-warszawa-encyklopedyczna-2a,oferta,1003012068","['Możliwość rozwoju w kierunku, którym się interesujesz.', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura - to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy.', 'Budżet na rozwój.', 'Premia roczna.', 'Pakiet Multisport.', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
Projekt realizowany dla Klienta z branży bankowej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Posiadasz kilkuletnie doświadczenie w tworzeniu oprogramowania (4+).', 'Stawiasz na pisanie wysokiej jakości kodu.', 'Posiadasz wiedzę z zakresu wytwarzania oprogramowania.', 'Znajomość języka angielskiego na poziomie minimum B2.']","['Java', 'Spring Framework', 'Hibernate', 'Mikroserwisy']",30-12-2023,Java Developer,25000,16000,[],"['REST', 'Maven', 'SQL', 'Jenkins']","specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Współpraca z Zespołem Projektowym.', 'Realizacja i implementacja zmian systemowych po stronie back-endu.', 'Projektowanie, budowanie i utrzymanie spójnej architektury systemowej.', 'Przygotowywanie dokumentacji technicznej dla realizowania zmian.']",27/12/2023 18:10:15,pracuj.pl,Backend,"https://www.pracuj.pl/praca/java-developer-warszawa-encyklopedyczna-2a,oferta,1003012069","['Możliwość rozwoju w kierunku, którym się interesujesz.', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura - to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy.', 'Budżet na rozwój.', 'Pakiet Multisport.', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
"Projekt związany z implementacją procesów przetwarzania danych. Zakres prac obejmuje przygotowanie integracji ze zdarzeń dostarczanych na topiki kafkowe Hive, generację plików do zasilania hurtowni danych oraz zasilanie danych w postaci znormalizowanej do bazy Oracle.",None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'mentoring', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Doświadczenie w programowaniu w Nifi.', 'Doświadczenie projektowania rozwiązań w obszarze BI.', 'Doświadczenie w podobnej roli min. 2 lata.', 'Znajomość języka angielskiego na poziomie minimum B2.']","['Python', 'Kafka', 'Hive', 'Apache Spark', 'pySpark', 'Nifi', 'Hadoop', 'Oracle', 'HDFS']",30-12-2023,BI Developer (NiFi/Airflow),17600,14000,[],[],specjalista (Mid / Regular),gross / mth.,"['Identyfikacja i analiza wpływu zmian na systemy BI.', 'Implementacja integracja we flow Nifi lub Spark/pySpark wg Interface Agreement oraz dostarczonych wytycznych z analizy i schematu danych docelowych.', 'Tworzenie scenariuszy testowych i planu testów.', 'Stosowanie dobrych praktyk co do programowania flow i stosowanie wzorców grup procesów do reużycia przetestowanego kodu.', 'Dbanie o efektywne wykorzystanie zasobów przy implementacji logiki.', 'Aktualizacja projektu technicznego.']",27/12/2023 18:10:15,pracuj.pl,Business analytics,"https://www.pracuj.pl/praca/bi-developer-nifi-airflow-warszawa-encyklopedyczna-2a,oferta,1003012071","['Możliwość rozwoju w kierunku, którym się interesujesz.', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura - to Ty decydujesz!', 'Budżet na rozwój.', 'Premia roczna.', 'Pakiet Multisport.', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
Projekt wspierający badania kliniczne i niekliniczne.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Min. 5 lat doświadczenia z Python, w tym w budowaniu skalowalnych systemów i interfejsów API REST.', 'Dobra znajomość FastAPI, Celery, pytest, SQL Alchemy, Boto3, Keycloak, - Doświadczenie w pracy z AWS.', 'Umiejętność pracy z Docker, Kubernetes i Helm.', 'Doświadczenie z GitLab CI.', 'Doświadczenie z wydajnymi formatami plików do analizy danych (np. hdf5, zarr, tiledb).', 'Znajomość na poziomie USAGE-level technologii: EKS, ECS, S3, SQS, SNS, ALB, EC2, RDS (Postgres), ElastiCache Redis.', 'Testy automatyczne - jednostkowe, int, e2e, wydajnościowe, regresyjne, -Gitlab/github/JIRA.', 'Znajomość języka angielskiego na poziomie min. B2.']","['Python', 'FastAPI', 'Celery', 'pytest', 'SQL Alchemy', 'Boto3', 'Keycloak', 'AWS', 'Docker', 'Kubernetes', 'Helm']",30-12-2023,Senior Python Developer,23500,20000,[],[],starszy specjalista (Senior),gross / mth.,"['Współpraca z Zespołem Projektowym – omawianie i wybieranie technologii oraz architektury.', 'Dawanie rekomendacji dotyczących technologii oprogramowania.', 'Realny wpływ na budowę oraz rozwój nowych funkcjonalności.', 'Stosowanie prawidłowych standardów i dobrych praktyk kodowania – wdrażanie ich w codzienną pracę ułatwi ‘życie’ w Zespole oraz funkcjonalność produktu!']",27/12/2023 18:10:16,pracuj.pl,Backend,"https://www.pracuj.pl/praca/senior-python-developer-warszawa-encyklopedyczna-2a,oferta,1003012070","['Możliwości rozwoju w kierunku, którym się interesujesz.', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy.', 'Budżet na rozwój.', 'Premia roczna.', 'Prywatna opieka medyczna.', 'Pakiet Multisport.', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
"Projekt związany z rozwojem aplikacji opartych o VueJS, React, Java (Spring) dla niemieckiego klienta.",None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Kilkuletnie doświadczenie w wykorzystaniu VueJS', 'Dobra znajomość Reacta, Javy oraz Springa', 'Znajomość języka niemieckiego na poziomie min. B2 (język obcy będziesz wykorzystywał w kontakcie z niemieckimi klientami, Zespołem i do czytania oraz pisania dokumentacji technicznej w języku niemieckim)']","['Vue.js', 'React.js', 'Java', 'Spring Framework']",30-12-2023,VueJS Developer (język niemiecki),18400,15000,['Znajomość języka angielskiego na poziomie min. B2'],[],"specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Rozwój aplikacji, budowa nowych funkcjonalności; realny wpływ na działania w Zespole', 'Współpraca z niemieckim Zespołem Developerskim', 'Stosowanie prawidłowych standardów i dobrych praktyk kodowania', 'Rozwój i doskonalenie swoich umiejętności']",27/12/2023 18:10:17,pracuj.pl,Frontend,"https://www.pracuj.pl/praca/vuejs-developer-jezyk-niemiecki-warszawa-encyklopedyczna-2a,oferta,1003012072","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Projekt dla klienta z branży medyczno-farmaceutycznej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Minimum 5 lat komercyjnego doświadczenia z Angularem (10+)', 'Praktyczna wiedza o środowiskach Angulara - CLI/RxJS/NgRx', 'Znajomość komponentów sieciowych', 'Biegłość w pisaniu testów jednostkowych/integracyjnych; znajomość testów E2E', 'Znajomość wizualizacje (mile widziane: D3 i Three.js)', 'Wiedza z obszaru ES2015+ (w projekcie wykorzystywane narzędzia z ES6+)', 'Doświadczenie z Jenkins, Gitlab, Jira, Bitbucket/Github, Confluence']","['Angular', 'Jenkins', 'GitLab', 'Github', 'Bitbucket', 'Jira', 'Confluence']",30-12-2023,Senior Frontend Developer (Angular),26000,21000,[],[],"specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Współpraca z Zespołem Projektowym – omawianie i wybieranie technologii oraz architektury', 'Dawanie rekomendacji dotyczących technologii oprogramowania', 'Realny wpływ na budowę oraz rozwój nowych funkcjonalności', 'Stosowanie prawidłowych standardów i dobrych praktyk kodowania – wdrażanie ich w codzienną pracę ułatwi ‘życie’ w Zespole oraz funkcjonalność produktu!']",27/12/2023 18:10:17,pracuj.pl,Frontend,"https://www.pracuj.pl/praca/senior-frontend-developer-angular-warszawa-encyklopedyczna-2a,oferta,1003012073","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Projekt dla klienta z branży ubezpieczeniowej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Minimum 5-letnie doświadczenie w pracy na stanowisku developera programisty PLSQL', 'Dobra znajomość relacyjnych baz danych: Oracle', 'Otwartość na pracę zespołową', 'Gotowość do pracy hybrydowej (1x w tygodniu pracy z warszawskiego biura)']","['PL/SQL', 'Oracle']",30-12-2023,PL/SQL Developer,20100,16000,"['Doświadczenie zawodowe w sektorze finansowo-ubezpieczeniowym', 'Znajomość Oracle Apex, JSON, REST API', 'Znajomość języka angielskiego']","['Oracle Apex', 'JSON', 'REST API']","specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Projektowanie modelu danych', 'Przygotowywanie struktur', 'Tworzenie logiki aplikacji, procesów przetwarzających dane', 'Przygotowywanie danych do analiz']",27/12/2023 18:10:18,pracuj.pl,Big Data / Data Science,"https://www.pracuj.pl/praca/pl-sql-developer-warszawa-encyklopedyczna-2a,oferta,1003012074","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca hybrydowa,pełny etat
Projekt dla globalnej firmy technologicznej specjalizującej się w branży turystycznej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Minimum 5 letnie doświadczenie w roli testera', 'Umiejętności analityczne', 'Znajomość narzędzi do automatyzacji testów i testowania (QTP, White, Loadrunner, FitNesse, Quality Center (VBscript, XML, testowanie wydajności)', 'Praktyczna wiedza na temat wszystkich faz cyklu życia produktu, w tym specyfikacji inżynieryjnych, zbierania wymagań klienta, projektowania i rozwoju oprogramowania, testowania – w tym jednostkowego, funkcjonalnego, systemowego i integracji', 'Bardzo dobra znajomość SQL, Oracle, SQL Server', 'Doświadczenie w pracy z metodologiami Agile, Scrum', 'Znajomość języka angielskiego na poziomie min. B2']","['Java', 'Jenkins', 'Bitbucket', 'SQL', 'Oracle', 'Microsoft SQL Server']",30-12-2023,Senior QA Engineer,21800,18000,[],[],starszy specjalista (Senior),gross / mth.,"['Testowanie w celu opracowania, zastosowania i utrzymania standardów jakości produktów firmy', 'Projektowanie, kodowanie i wykonywanie skryptów testowych', 'Przygotowywanie i aktualizowanie dokumentacji technicznej', 'Dawanie rekomendacji dotyczących zagadnień, narzędzi i procesów automatyzacji', 'Opracowywanie i realizacja planów testów oprogramowania', 'Analiza wyników testów i zlecanie działań naprawczych']",27/12/2023 18:10:19,pracuj.pl,QA/Testing,"https://www.pracuj.pl/praca/senior-qa-engineer-warszawa-encyklopedyczna-2a,oferta,1003012075","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Czas trwania projektu: długoterminowy,Kraków,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Kraków, małopolskie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Co najmniej 4 lat doświadczenia jako Java developer,', 'Bardzo dobra znajomość technologii chmurowej AWS,', 'Znajomość Tomcat, REST, JSON,', 'Doświadczenie z relacyjnymi bazami danych (Oracle DB),', 'Duże doświadczenie projektowe i programistyczne w budowaniu systemów rozproszonych na dużą skalę,', 'Projektowanie mikroserwisów,', 'Umiejętność debuggowania i konteryzacji,', 'Znajomość języka angielskiego na poziomie co najmniej B2.']","['Java', 'AWS', 'Apache Tomcat', 'Oracle DB']",30-12-2023,Senior Java Developer (AWS),23500,21800,"['Znajomość: JavaScript, ReactJS, Docker, Kubernetes.']","['JavaScript', 'React.js', 'Docker', 'Kubernetes']",starszy specjalista (Senior),gross / mth.,"['Projektowanie, rozwijanie i utrzymanie wydajnego kodu, w oparciu o wzorce projektowe,', 'Tworzenie architektury mikrousługowej,', 'Odpowiedzialność za jakość systemów, wydajność, skalowalność i charakterystykę dostępności,', 'Rozwiązywanie problemów z systemami,', 'Udział w Code Review,', 'Prowadzenie szkoleń technicznych w ramach organizacji inżynierskiej,', 'Tworzenie dokumentacji technicznej.']",27/12/2023 18:10:19,pracuj.pl,Backend,"https://www.pracuj.pl/praca/senior-java-developer-aws-krakow,oferta,1003012076","['Możliwości rozwoju w kierunku, którym się interesujesz,', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy,', 'Budżet na rozwój,', 'Premia roczna,', 'Prywatna opieka medyczna,', 'Pakiet Multisport,', 'Lekcje języka angielskiego.']","praca zdalna, praca hybrydowa",pełny etat
Projekt dla klienta telekomunikacyjnego w Finlandii.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Minimum 5 lat doświadczenia z CMS', 'Znajomość Wordpress, Java, React.js, NextJS, Kubernetes', 'Doświadczenie w pracy w środowisku chmurowym - AWS', 'Znajomość języka angielskiego na poziomie B2/C1']","['Contentful CMS', 'WordPress', 'Java', 'React.js', 'NextJS', 'AWS', 'Kubernetes']",30-12-2023,Fullstack CMS Developer,26900,21000,[],[],"specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Rozwój stron internetowych', 'Współpraca z Zespołem Developerskim', 'Stosowanie prawidłowych standardów i dobrych praktyk kodowania', 'Realny wpływ na budowę oraz rozwój nowych funkcjonalności']",27/12/2023 18:10:20,pracuj.pl,Full-stack,"https://www.pracuj.pl/praca/fullstack-cms-developer-warszawa-encyklopedyczna-2a,oferta,1003012078","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
